ИД	УРЛ
50837c0e429d49b3b6637c9367104a90	https://www.google.de/search?tbm=isch&q=das Licht
660b791815984cc3bd482ee31b71eec0	https://www.google.de/search?tbm=isch&q=die Sonne
c6e523afe2414dd7917cb9b1cba26f10	https://www.google.de/search?tbm=isch&q=der Tod
7547ab919b264a738c3895379914f230	https://www.google.de/search?tbm=isch&q=die Bewegung
3d8c9469fda549cba33c88fcb5505100	https://www.google.de/search?tbm=isch&q=der/das Morgen
dbf2239f4a02432eb05a53d0a8053530	https://www.google.de/search?tbm=isch&q=die Geschichte
82eeffc07d6a4ddb92e2e878daad4050	https://www.google.de/search?tbm=isch&q=die Frage
62a1213e32634268ad0cb5c6c0eeed10	https://www.google.de/search?tbm=isch&q=das Glück
fc0ddc26c7264e38a594ac4ae136ba10	https://www.google.de/search?tbm=isch&q=das Recht
78c93fd81010476297070d90f899cb20	https://www.google.de/search?tbm=isch&q=der Begriff
2ca3efeef4534afcb961ac929dcc7ca0	https://www.google.de/search?tbm=isch&q=das Sein
0263de0fdfe64b0d8a644eb6507072a0	https://www.google.de/search?tbm=isch&q=der Bruder
bf2dcd9370754f2c8c1a4ff89029a530	https://www.google.de/search?tbm=isch&q=die Brust
3319e90fd0c94a54b98ee6e4aaefc9c0	https://www.google.de/search?tbm=isch&q=die Kirche
4cd9609cc41642f5909a4180a2eb54b0	https://www.google.de/search?tbm=isch&q=die Macht
0c8cf7f1c1ce4e368f0708ce1a6e9e80	https://www.google.de/search?tbm=isch&q=die Tochter
a4a4daade37c41b9bb0778a87d1e5cd0	https://www.google.de/search?tbm=isch&q=der Sinn
ee0b47bb4a7a4ade81a43b15e63f6010	https://www.google.de/search?tbm=isch&q=das Volk
6d0cbda31c90419189cf27353b0289c0	https://www.google.de/search?tbm=isch&q=der Tisch
3a96d4bc48fa44c492e23b58c2d0c330	https://www.google.de/search?tbm=isch&q=die Gestalt
81a4c085847f469abdb88c504d718fd0	https://www.google.de/search?tbm=isch&q=der Platz
060c3c06fc934b2e8b55b1c16f1d8f90	https://www.google.de/search?tbm=isch&q=die Ruhe
a8215638ae75401687d2deeb75a86580	https://www.google.de/search?tbm=isch&q=das Bild
