КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
0722f94042f4425ea6043bded0d6a823	2020-01-30	12:36:03+0100	1	1
61788414796a4bf38732695db87aab93	2020-01-30	12:36:11+0100	0	0
f22afb424f1a4ed5b6f1492fa8e65143	2020-01-30	12:36:15+0100	1	1
f8924411091446248d30895d161966f4	2020-01-30	12:36:19+0100	1	1
9e12923fd83e48d5ac08ab01dea6ca25	2020-01-30	12:36:32+0100	1	1
61788414796a4bf38732695db87aab95	2020-01-30	12:36:47+0100	0	0
880e152c93b1412eb549c3d64420e975	2020-01-30	12:37:00+0100	1	1
4157813edfb24ffc952f1bd9ccf1d9b5	2020-01-30	12:37:11+0100	1	1
f8924411091446248d30895d161966f5	2020-01-30	12:37:30+0100	0	0
9e12923fd83e48d5ac08ab01dea6ca21	2020-01-30	12:38:10+0100	1	1
9e12923fd83e48d5ac08ab01dea6ca22	2020-01-30	12:38:14+0100	1	1
61788414796a4bf38732695db87aab93	2020-01-30	12:38:25+0100	1	1
61788414796a4bf38732695db87aab95	2020-01-30	12:39:00+0100	0	0
f8924411091446248d30895d161966f5	2020-01-30	12:39:25+0100	1	1
61788414796a4bf38732695db87aab95	2020-01-30	12:39:48+0100	1	1
de07bde59ede40c694d1ab603dc6b870	2020-01-31	11:36:51+0100	2	2
626a3120c18f4744995429cca9f927d0	2020-01-31	11:36:53+0100	2	2
923c9a3057f74ffd93f387ac559dc800	2020-01-31	11:36:55+0100	2	2
04f1c7d7a69a4329a9595814c7d72bf0	2020-01-31	11:36:57+0100	2	2
b2d8d718e2194ae89d99f29132781760	2020-01-31	11:36:59+0100	2	2
b634c93aecec4427a1eeaad25c640be0	2020-02-01	10:19:44+0100	2	3
037e5cd387d04496ae542cf484594e40	2020-02-01	10:19:46+0100	2	3
9e12923fd83e48d5ac08ab01dea6ca21	2020-02-01	10:19:53+0100	2	3
0722f94042f4425ea6043bded0d6a821	2020-02-01	10:19:55+0100	2	3
61788414796a4bf38732695db87aab91	2020-02-01	10:19:58+0100	2	3
f8924411091446248d30895d161966f1	2020-02-01	10:20:01+0100	2	3
de07bde59ede40c694d1ab603dc6b871	2020-02-01	10:20:03+0100	2	2
626a3120c18f4744995429cca9f927d1	2020-02-01	10:20:06+0100	2	2
923c9a3057f74ffd93f387ac559dc801	2020-02-01	10:20:09+0100	2	2
04f1c7d7a69a4329a9595814c7d72bf1	2020-02-01	10:20:11+0100	2	2
b2d8d718e2194ae89d99f29132781761	2020-02-01	10:20:14+0100	2	2
9e12923fd83e48d5ac08ab01dea6ca22	2020-02-01	10:20:19+0100	1	2
0722f94042f4425ea6043bded0d6a822	2020-02-01	10:20:23+0100	2	3
61788414796a4bf38732695db87aab92	2020-02-01	10:20:27+0100	0	1
41b7fa646a26475aa6023ed1a1439272	2020-02-01	10:20:31+0100	1	2
b634c93aecec4427a1eeaad25c640be2	2020-02-01	10:20:35+0100	2	3
880e152c93b1412eb549c3d64420e972	2020-02-01	10:20:41+0100	1	2
f22afb424f1a4ed5b6f1492fa8e65142	2020-02-01	10:20:45+0100	2	3
037e5cd387d04496ae542cf484594e42	2020-02-01	10:20:47+0100	2	3
4157813edfb24ffc952f1bd9ccf1d9b2	2020-02-01	10:20:51+0100	1	2
f8924411091446248d30895d161966f2	2020-02-01	10:20:54+0100	2	3
de07bde59ede40c694d1ab603dc6b872	2020-02-01	10:20:57+0100	2	2
626a3120c18f4744995429cca9f927d2	2020-02-01	10:21:01+0100	2	2
923c9a3057f74ffd93f387ac559dc802	2020-02-01	10:21:12+0100	0	0
04f1c7d7a69a4329a9595814c7d72bf2	2020-02-01	10:21:14+0100	2	2
b2d8d718e2194ae89d99f29132781762	2020-02-01	10:21:19+0100	0	0
9e12923fd83e48d5ac08ab01dea6ca23	2020-02-01	10:21:25+0100	1	2
0722f94042f4425ea6043bded0d6a823	2020-02-01	10:21:28+0100	2	3
61788414796a4bf38732695db87aab93	2020-02-01	10:21:32+0100	0	1
41b7fa646a26475aa6023ed1a1439273	2020-02-01	10:25:18+0100	0	1
b634c93aecec4427a1eeaad25c640be3	2020-02-01	10:25:23+0100	0	1
880e152c93b1412eb549c3d64420e973	2020-02-01	10:25:28+0100	1	2
f22afb424f1a4ed5b6f1492fa8e65143	2020-02-01	10:25:30+0100	1	2
037e5cd387d04496ae542cf484594e43	2020-02-01	10:25:31+0100	1	2
4157813edfb24ffc952f1bd9ccf1d9b3	2020-02-01	10:25:34+0100	1	2
f8924411091446248d30895d161966f3	2020-02-01	10:25:37+0100	1	2
de07bde59ede40c694d1ab603dc6b873	2020-02-01	10:25:39+0100	1	1
b2d8d718e2194ae89d99f29132781762	2020-02-01	10:26:13+0100	0	0
923c9a3057f74ffd93f387ac559dc802	2020-02-01	10:26:18+0100	1	1
61788414796a4bf38732695db87aab92	2020-02-01	10:26:24+0100	1	2
b634c93aecec4427a1eeaad25c640be3	2020-02-01	10:26:31+0100	1	2
923c9a3057f74ffd93f387ac559dc803	2020-02-01	10:26:34+0100	1	1
61788414796a4bf38732695db87aab93	2020-02-01	10:26:37+0100	1	2
b2d8d718e2194ae89d99f29132781763	2020-02-01	10:26:40+0100	1	1
626a3120c18f4744995429cca9f927d3	2020-02-01	10:26:43+0100	1	1
41b7fa646a26475aa6023ed1a1439273	2020-02-01	10:26:50+0100	0	1
04f1c7d7a69a4329a9595814c7d72bf3	2020-02-01	10:26:56+0100	0	0
41b7fa646a26475aa6023ed1a1439274	2020-02-01	10:27:08+0100	0	1
0722f94042f4425ea6043bded0d6a824	2020-02-01	10:27:11+0100	1	2
de07bde59ede40c694d1ab603dc6b874	2020-02-01	10:27:13+0100	2	2
626a3120c18f4744995429cca9f927d4	2020-02-01	10:27:16+0100	2	2
04f1c7d7a69a4329a9595814c7d72bf4	2020-02-01	16:22:51+0100	2	2
4157813edfb24ffc952f1bd9ccf1d9b4	2020-02-01	16:22:53+0100	2	3
f8924411091446248d30895d161966f4	2020-02-01	16:22:55+0100	2	3
f22afb424f1a4ed5b6f1492fa8e65144	2020-02-01	16:22:57+0100	2	3
880e152c93b1412eb549c3d64420e974	2020-02-01	16:22:58+0100	2	3
9e12923fd83e48d5ac08ab01dea6ca24	2020-02-01	16:23:00+0100	2	3
61788414796a4bf38732695db87aab94	2020-02-01	16:23:03+0100	2	3
037e5cd387d04496ae542cf484594e44	2020-02-01	16:23:06+0100	0	1
923c9a3057f74ffd93f387ac559dc804	2020-02-01	16:23:08+0100	2	2
b634c93aecec4427a1eeaad25c640be4	2020-02-01	16:23:09+0100	2	3
b2d8d718e2194ae89d99f29132781764	2020-02-01	16:23:11+0100	2	2
626a3120c18f4744995429cca9f927d5	2020-02-01	16:23:28+0100	0	0
f8924411091446248d30895d161966f5	2020-02-01	16:23:38+0100	0	1
923c9a3057f74ffd93f387ac559dc805	2020-02-01	16:23:57+0100	0	0
b2d8d718e2194ae89d99f29132781765	2020-02-01	16:24:26+0100	0	0
0722f94042f4425ea6043bded0d6a825	2020-02-01	16:24:41+0100	1	2
04f1c7d7a69a4329a9595814c7d72bf5	2020-02-01	16:24:55+0100	0	0
de07bde59ede40c694d1ab603dc6b875	2020-02-01	16:25:04+0100	1	1
4157813edfb24ffc952f1bd9ccf1d9b5	2020-02-01	16:25:36+0100	0	1
037e5cd387d04496ae542cf484594e45	2020-02-01	16:26:25+0100	0	1
41b7fa646a26475aa6023ed1a1439275	2020-02-01	16:27:14+0100	0	1
9e12923fd83e48d5ac08ab01dea6ca25	2020-02-01	16:28:06+0100	1	2
b634c93aecec4427a1eeaad25c640be5	2020-02-01	16:28:23+0100	1	2
880e152c93b1412eb549c3d64420e975	2020-02-01	16:28:35+0100	1	2
f22afb424f1a4ed5b6f1492fa8e65145	2020-02-01	16:28:43+0100	1	2
61788414796a4bf38732695db87aab95	2020-02-01	16:29:31+0100	0	1
b2d8d718e2194ae89d99f29132781762	2020-02-01	16:31:48+0100	1	1
41b7fa646a26475aa6023ed1a1439273	2020-02-01	16:32:00+0100	0	1
04f1c7d7a69a4329a9595814c7d72bf3	2020-02-01	16:32:07+0100	1	1
037e5cd387d04496ae542cf484594e44	2020-02-01	16:32:14+0100	0	1
41b7fa646a26475aa6023ed1a1439274	2020-02-01	16:32:21+0100	1	2
f8924411091446248d30895d161966f5	2020-02-01	16:33:06+0100	0	1
b2d8d718e2194ae89d99f29132781765	2020-02-01	16:33:13+0100	1	1
923c9a3057f74ffd93f387ac559dc805	2020-02-01	16:33:25+0100	1	1
04f1c7d7a69a4329a9595814c7d72bf5	2020-02-01	16:33:34+0100	0	0
037e5cd387d04496ae542cf484594e45	2020-02-01	16:34:09+0100	0	1
61788414796a4bf38732695db87aab95	2020-02-01	16:35:10+0100	0	1
