ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
2a479360c75d41a9b23882afc4a6eea0	2020-02-06	ich hatte	imao sam
5c4ce08f8ac34e3ea474190294bf1a20	2020-02-06	du hattest	imao si
79702770c2584bd990854c4a1a172740	2020-02-06	er hatte	imao je
86e2c43b206947a5a9d64023d8b8cc80	2020-02-06	sie hatte	imala je
a27b99cd4b3b4e6196fb633c00da7bb0	2020-02-06	es hatte	imalo je
6ef95676a8d04693ad058eaf8010fcd0	2020-02-06	wir hatten	imali smo
553ee1d56e68491dafcde4ba423b9440	2020-02-06	ihr hattet	imali ste(2)
3139ac939a8346f6bb4f35b1a31e45b0	2020-02-06	sie hatten	imali su
