ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
bec4a934d4144a4389133ab76d105260	ОДГОВОР <= ПИТАЊЕ	Tehnike disanja	Wim Hof	_SVAKI_DAN_/извор/здравље.tsv	2
d39ee3461ef5460aadefe3548dfdc840	ОДГОВОР <= ПИТАЊЕ	Hladan tuš	zamisli da uskačeš u bazen	_SVAKI_DAN_/извор/здравље.tsv	3
ebdbdbf75f9c4c7f9eb157a4dcc2ee60	ОДГОВОР <= ПИТАЊЕ	Zdrava ishrana	I povremeni post	_SVAKI_DAN_/извор/здравље.tsv	4
735cd4c0bfd04fb5a14f3bc5db4e3ea0	ОДГОВОР <= ПИТАЊЕ	Radi u bašti	15min fizičkod rada je veliko	_SVAKI_DAN_/извор/здравље.tsv	5
6a902bf1f2de47d4899985eb59cf4b10	ОДГОВОР <= ПИТАЊЕ	timeboxing	sat vremena po aktivnost	_SVAKI_DAN_/извор/мозак.tsv	2
d61d2c36c9f34f5791cf01a932312b40	ОДГОВОР <= ПИТАЊЕ	čitaj manje članaka	a više knjiga	_SVAKI_DAN_/извор/мозак.tsv	3
8563b18c5c2e47a08f95b27ba84ac470	ОДГОВОР <= ПИТАЊЕ	THE MAJOR ATTRIBUTES OF LEADERSHIP	THE MAJOR CAUSES OF FAILURE IN LEADERSHIP	_SVAKI_DAN_/извор/мозак.tsv	4
93e718b980ca4bc795a3fad0b18d9910	ОДГОВОР <= ПИТАЊЕ	vim i vimscripts	kao powermode za user interfejs	_SVAKI_DAN_/извор/мозак.tsv	5
