ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
c5498be3c50c48738f3f3bc892bc53f0	2020-03-26	ich weiß	ja znam
60a81efceb6041889bf0fcee04c2eda0	2020-03-26	du weißt	ti znaš
6d73a30954af47c59f0accd8cad80330	2020-03-26	er weiß	on zna
4c184bf9f8964a919244a567c9a66cd0	2020-03-26	sie weiß	ona zna
cf1e361a57604dc38540654e0dcc36c0	2020-03-26	es weiß	ono zna
14884a61edb64c8abd10a46f90565990	2020-03-26	wir wissen	mi znamo
88ddb34c8469480baf7fd4586791c520	2020-03-26	ihr wisst	vi znate
bb609d6817cb47bd8e7bd5ee20fb61e0	2020-03-26	sie wissen	oni znaju
