ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
bdf0768a269f4ba68dc003bdd1f862a0	2020-02-06	ich werde	ja ću
a48f51ae31c248e8aa9136ddd8a64ab0	2020-02-06	du wirst	ti ćeš
214d9456f5a249168b26d74cad139770	2020-02-06	er wird	on će
39daabcbaa414c34a985dd222452fcc0	2020-02-06	sie wird	ona će
d5d6c8bbb0994f7495c443d7f7be6890	2020-02-06	es wird	ono će
6fafe228eada4026bf7ace1690258b00	2020-02-06	wir werden	mi ćemo
f0e28ba4377f4de8ad97c4f831546330	2020-02-06	ihr werdet	vi ćete
9fa465a6cff149e6ab1791487a63b820	2020-02-06	sie werden	oni će
