ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
966d0ebfbf9d4bd0a4268e04b10ac5d0	2020-04-12	Wer tut etwas?	Ko radi nešto?
1180d98cd12847c39e2f2d953b57d480	2020-04-12	Was geschieht?	Šta se dešava?
6cb39de3520043abb874e084cd226fc0	2020-04-12	Wann passiert es?	Kada se to dogodilo?
f1cd75b629be46b2936a3586b7b29d00	2020-04-12	Wo wohnst du?	Gde živiš?
d42a10d30b254553888bf4d1d545b510	2020-04-12	Warum passiert es?	Zašto se to dešava?
0b51773ef130476bb41555e7998108e0	2020-04-12	Wie heißt du?	Kako se zoveš?
fdad3cfe44d3437f959ed0610783c940	2020-04-12	Woher kommst du?	Odakle si?
4b3070d8ab6b4434b09c0ff1e8348ab0	2020-04-12	Wie viel kostet das Fleisch?	Koliko košta meso?
