ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
6c142a455ed245139841406574d55930	2020-03-23	Ich bin seit zwei Monaten hier.	Ovde sam (od pre) dva meseca.
3a16d06d4504423fb68b3eac2a3e1f60	2020-03-23	[Seit] wann sind Sie hier?\n[Seit] zwei Monaten.	Od kada Ste ovde?\n(od pre) Dva meseca.
d18c1aa2919e493380658d3ff47dafe0	2020-03-23	[Wann] bist du nach Deutschland gekommen?\n[Vor] drei Jahren.	Kada si došao u Nemačku?\nPre tri godine.
cb90e77f2b994f17a43a81ac1c576930	2020-03-23	[Wie lange] sind Sie hier?\n[Seit] vier Wochen.	Koliko dugo Ste ovde?\n(od pre) Četiri nedelje.
97fbae9b81fa4a81811547539e0b4d30	2020-03-23	vor ein[em] Monat	pre mesec dana
c7a63164b9454653bb7616721849b700	2020-03-23	vor ein[em] Jahr	pre godinu dana
c9302a6a8b5a445b9b9b334d16aff4f0	2020-03-23	vor ein[er] Woche	pre nedelju dana
532e22cd6702454693a0fd78ccfe0110	2020-03-23	seit 2004	od 2004-te
