ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
b5af4a7db4f943f0a20bc3dbdc20dc40	2020-02-05	Ich bin	Ja sam
e0d7a4af3ac24f9db4424d99fa248750	2020-02-05	Du bist	Ti si
36962c4d041c4485ac6f9e1c299b8770	2020-02-05	Er ist	On je
73c21a9dc89c4b189c6ab8fb90c31200	2020-02-05	Sie ist	Ona je
a6193b1e437442b297a5ff8dc1795140	2020-02-05	Es ist	Ono je
089cc635f03340e5bc63b20d398643d0	2020-02-05	Wir sind	Mi Smo
046c43d6ef6b442e973b4194899e7fe0	2020-02-05	Ihr seid	Vi ste(2)
1820be846ff94638b314beb1c6b3d880	2020-02-05	Sie sind	Oni su
