ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
7cee5efd36804768a1036a7c33f01da0	2020-02-08	Er l[e]gt den Ball auf de[n] Boden.	On polaže loptu na tlo.
ee4201b47b704218baa6ca8a7d1ce3b0	2020-02-08	Der Ball l[ie]gt auf de[m] Boden.	Lopta leži na tlu.
0c8ff7a5c5c1489380e2b2f790d7b4b0	2020-02-08	Er stellt die Flasche auf de[n] Boden.	On postavlja flašu na tlo.
6455c66371a44aa08a416c6fe8dc4b60	2020-02-08	Die Flasche steht auf de[m] Boden.	Flaša stoji na tlu.
14a4dabbd750433d80d6201c8cc24300	2020-02-08	Er s[e]tzt die Katze auf de[n] Boden.	On poseda mačku na tlo.
9b60d64bacbe449398f965165b05af80	2020-02-08	Die Katze s[i]tzt auf de[m] Boden.	Mačka sedi na tlu.
